,MentorMate,Acronis,Convenience,Destination Workplace,ITEAM,Pytek,Strypes,Ship.Cars,Natek,TiXi,iCOVER,domotz,Estafet,Speed – Software & Network Solutions,Hyperscience,BICA Services,TECHTOPIA,HedgeServ,TelebidPro,EnskAI,Bosch Engineering Center Sofia
0, Senior Python Developer , Senior Software Python Developer with willingness to switch to Golang (Performance & Advanced Analytics team) , Python Back-end Engineer , Python Software Engineer , SOFTWARE ENGINEER (C / PYTHON) , Intern/Junior Python/Django Web Developer , Matlab Developer with Python , Senior Python Developer , Python Developer , Python Software Engineer , Senior Python Developer , BACK END SOFTWARE ENGINEER , Senior Python Developer , Python Developer , Senior Software Engineer – Backend , Senior Python Developer , Senior Python Developer , Python developer – Reporting team , Full Stack Developer Intern , Python Back End Developer , SOFTWARE ARCHITECT FOR AUTOMOTIVE 
1,1 сеп.,9 сеп.,13 сеп.,13 сеп.,13 сеп.,10 сеп.,10 сеп.,10 сеп.,9 сеп.,10 сеп.,9 сеп.,9 сеп.,9 сеп.,9 сеп.,9 сеп.,9 сеп.,9 сеп.,8 сеп.,8 сеп.,8 сеп.,8 сеп.
